value,series,economy,aggregate,time,indicator
45.553,SP.DYN.LE00.IN,ZMB,False,YR1995,SP.DYN.LE00.IN
45.854,SP.DYN.LE00.IN,ZMB,False,YR1994,SP.DYN.LE00.IN
46.209,SP.DYN.LE00.IN,ZMB,False,YR1993,SP.DYN.LE00.IN
46.512,SP.DYN.LE00.IN,ZMB,False,YR1992,SP.DYN.LE00.IN
47.097,SP.DYN.LE00.IN,ZMB,False,YR1991,SP.DYN.LE00.IN
47.926,SP.DYN.LE00.IN,ZMB,False,YR1990,SP.DYN.LE00.IN
48.696,SP.DYN.LE00.IN,ZMB,False,YR1989,SP.DYN.LE00.IN
49.527,SP.DYN.LE00.IN,ZMB,False,YR1988,SP.DYN.LE00.IN
50.328,SP.DYN.LE00.IN,ZMB,False,YR1987,SP.DYN.LE00.IN
51.061,SP.DYN.LE00.IN,ZMB,False,YR1986,SP.DYN.LE00.IN
51.902,SP.DYN.LE00.IN,ZMB,False,YR1985,SP.DYN.LE00.IN
52.755,SP.DYN.LE00.IN,ZMB,False,YR1984,SP.DYN.LE00.IN
53.389,SP.DYN.LE00.IN,ZMB,False,YR1983,SP.DYN.LE00.IN
53.859,SP.DYN.LE00.IN,ZMB,False,YR1982,SP.DYN.LE00.IN
54.047,SP.DYN.LE00.IN,ZMB,False,YR1981,SP.DYN.LE00.IN
54.143,SP.DYN.LE00.IN,ZMB,False,YR1980,SP.DYN.LE00.IN
54.439,SP.DYN.LE00.IN,ZMB,False,YR1979,SP.DYN.LE00.IN
54.61,SP.DYN.LE00.IN,ZMB,False,YR1978,SP.DYN.LE00.IN
54.709,SP.DYN.LE00.IN,ZMB,False,YR1977,SP.DYN.LE00.IN
54.604,SP.DYN.LE00.IN,ZMB,False,YR1976,SP.DYN.LE00.IN
54.239,SP.DYN.LE00.IN,ZMB,False,YR1975,SP.DYN.LE00.IN
53.87,SP.DYN.LE00.IN,ZMB,False,YR1974,SP.DYN.LE00.IN
53.3,SP.DYN.LE00.IN,ZMB,False,YR1973,SP.DYN.LE00.IN
52.629,SP.DYN.LE00.IN,ZMB,False,YR1972,SP.DYN.LE00.IN
52.023,SP.DYN.LE00.IN,ZMB,False,YR1971,SP.DYN.LE00.IN
51.493,SP.DYN.LE00.IN,ZMB,False,YR1970,SP.DYN.LE00.IN
51.147,SP.DYN.LE00.IN,ZMB,False,YR1969,SP.DYN.LE00.IN
50.856,SP.DYN.LE00.IN,ZMB,False,YR1968,SP.DYN.LE00.IN
50.802,SP.DYN.LE00.IN,ZMB,False,YR1967,SP.DYN.LE00.IN
50.679,SP.DYN.LE00.IN,ZMB,False,YR1966,SP.DYN.LE00.IN
50.563,SP.DYN.LE00.IN,ZMB,False,YR1965,SP.DYN.LE00.IN
49.849,SP.DYN.LE00.IN,ZMB,False,YR1964,SP.DYN.LE00.IN
50.133,SP.DYN.LE00.IN,ZMB,False,YR1963,SP.DYN.LE00.IN
49.794,SP.DYN.LE00.IN,ZMB,False,YR1962,SP.DYN.LE00.IN
49.452,SP.DYN.LE00.IN,ZMB,False,YR1961,SP.DYN.LE00.IN
49.042,SP.DYN.LE00.IN,ZMB,False,YR1960,SP.DYN.LE00.IN
,SP.DYN.LE00.IN,YEM,False,YR2023,SP.DYN.LE00.IN
63.72,SP.DYN.LE00.IN,YEM,False,YR2022,SP.DYN.LE00.IN
63.753,SP.DYN.LE00.IN,YEM,False,YR2021,SP.DYN.LE00.IN
64.65,SP.DYN.LE00.IN,YEM,False,YR2020,SP.DYN.LE00.IN
65.092,SP.DYN.LE00.IN,YEM,False,YR2019,SP.DYN.LE00.IN
64.575,SP.DYN.LE00.IN,YEM,False,YR2018,SP.DYN.LE00.IN
65.957,SP.DYN.LE00.IN,YEM,False,YR2017,SP.DYN.LE00.IN
66.064,SP.DYN.LE00.IN,YEM,False,YR2016,SP.DYN.LE00.IN
65.873,SP.DYN.LE00.IN,YEM,False,YR2015,SP.DYN.LE00.IN
67.384,SP.DYN.LE00.IN,YEM,False,YR2014,SP.DYN.LE00.IN
67.545,SP.DYN.LE00.IN,YEM,False,YR2013,SP.DYN.LE00.IN
67.343,SP.DYN.LE00.IN,YEM,False,YR2012,SP.DYN.LE00.IN
67.419,SP.DYN.LE00.IN,YEM,False,YR2011,SP.DYN.LE00.IN
67.28,SP.DYN.LE00.IN,YEM,False,YR2010,SP.DYN.LE00.IN
67.196,SP.DYN.LE00.IN,YEM,False,YR2009,SP.DYN.LE00.IN
66.963,SP.DYN.LE00.IN,YEM,False,YR2008,SP.DYN.LE00.IN
66.565,SP.DYN.LE00.IN,YEM,False,YR2007,SP.DYN.LE00.IN
65.988,SP.DYN.LE00.IN,YEM,False,YR2006,SP.DYN.LE00.IN
65.543,SP.DYN.LE00.IN,YEM,False,YR2005,SP.DYN.LE00.IN
65.006,SP.DYN.LE00.IN,YEM,False,YR2004,SP.DYN.LE00.IN
64.541,SP.DYN.LE00.IN,YEM,False,YR2003,SP.DYN.LE00.IN
63.906,SP.DYN.LE00.IN,YEM,False,YR2002,SP.DYN.LE00.IN
